"Название категории";"URL категории";"id родительской категории";"URL родительской категории";"Описание категории";Изображение;"Иконка для меню";"Заголовок [SEO]";"Ключевые слова [SEO]";"Описание [SEO]";"SEO Описание";Наценка;"Не выводить в меню";Активность;"Не выгружать в YML";Сортировка;"Внешний идентификатор";"ID категории";"title изображенния";"alt изображения"
"БАДы Swiss Nahrin (Свисс Нарин) Швейцария";shveytsarskie-bady-swiss-nahrin-sviss-narin;0;;;0.jpg;;;;;;0;0;1;1;218;;218;;
Витамины;vitaminy;218;shveytsarskie-bady-swiss-nahrin-sviss-narin/;;0_1.png;;;;;;0;0;1;1;230;;230;;
"Жидкие экстракты";jidkie-ekstrakty;230;shveytsarskie-bady-swiss-nahrin-sviss-narin/vitaminy/;;0_1-1.jpg;;;;;;0;0;1;1;295;;295;;
"Витаминные сиропы";vitaminnye-siropy;230;shveytsarskie-bady-swiss-nahrin-sviss-narin/vitaminy/;;0_1-2.jpg;;;;;;0;0;1;1;296;;296;;
"Капсулированные препараты";kapsulirovannye-preparaty;230;shveytsarskie-bady-swiss-nahrin-sviss-narin/vitaminy/;;0_1-3.jpg;;;;;;0;0;1;1;297;;297;;
Коктейли;kokteyli;230;shveytsarskie-bady-swiss-nahrin-sviss-narin/vitaminy/;;0_1-4.jpg;;;;;;0;0;1;1;298;;298;;
"Таблетированные препараты";tabletirovannye-preparaty;230;shveytsarskie-bady-swiss-nahrin-sviss-narin/vitaminy/;;0_1-5.jpg;;;;;;0;0;1;1;299;;299;;
"Витаминные конфеты Наросан";vitaminnye-konfety-narosan;230;shveytsarskie-bady-swiss-nahrin-sviss-narin/vitaminy/;;0_1-6.jpg;;;;;;0;0;1;1;300;;300;;
Приправы;pripravy;218;shveytsarskie-bady-swiss-nahrin-sviss-narin/;;0_2.jpg;;;;;;0;0;1;1;231;;231;;
"Тонизирующие чаи";toniziruyuschie-chai;218;shveytsarskie-bady-swiss-nahrin-sviss-narin/;;0_3.jpg;;;;;;0;0;1;1;232;;232;;
"Укрепление иммунитета";ukreplenie-immuniteta;218;shveytsarskie-bady-swiss-nahrin-sviss-narin/;;0_4.jpg;;;;;;0;0;1;1;233;;233;;
"Здоровые сосуды";zdorovye-sosudy;218;shveytsarskie-bady-swiss-nahrin-sviss-narin/;;0_5.jpg;;;;;;0;0;1;1;234;;234;;
"Здоровые суставы";zdorovye-sustavy;218;shveytsarskie-bady-swiss-nahrin-sviss-narin/;;0_6.jpg;;;;;;0;0;1;1;235;;235;;
"Нормализация пищеварения, Контроль массы тела";normalizatsiya-pischevareniya-kontrol-massy-tela;218;shveytsarskie-bady-swiss-nahrin-sviss-narin/;;0_7.jpg;;;;;;0;0;1;1;236;;236;;
"Косметика Swiss Nahrin (Нарин) Швейцария";shveytsarskaya-kosmetika-swiss-nahrin-narin;0;;;1.jpg;;;;;;0;0;1;1;219;;219;;
"Уход за кожей лица";uhod-za-kojey-litsa;219;shveytsarskaya-kosmetika-swiss-nahrin-narin/;;1-1.jpg;;;;;;0;0;1;1;237;;237;;
"Уход за телом";uhod-za-telom;219;shveytsarskaya-kosmetika-swiss-nahrin-narin/;;1-2.jpg;;;;;;0;0;1;1;238;;238;;
"Уход за кожей рук и ног";uhod-za-kojey-ruk-i-nog;219;shveytsarskaya-kosmetika-swiss-nahrin-narin/;;1-3.jpg;;;;;;0;0;1;1;239;;239;;
"Уход за волосами";uhod-za-volosami;219;shveytsarskaya-kosmetika-swiss-nahrin-narin/;;1-4.jpg;;;;;;0;0;1;1;240;;240;;
"Лечебные кремы для тела";lechebnye-kremy-dlya-tela;219;shveytsarskaya-kosmetika-swiss-nahrin-narin/;;1-5.jpg;;;;;;0;0;1;1;241;;241;;
"Эфирные масла";efirnye-masla;219;shveytsarskaya-kosmetika-swiss-nahrin-narin/;;1-6.jpg;;;;;;0;0;1;1;242;;242;;
"Ароматические эссенции для ванн";aromaticheskie-essentsii-dlya-vann;219;shveytsarskaya-kosmetika-swiss-nahrin-narin/;;1-7.jpg;;;;;;0;0;1;1;243;;243;;
